Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarNomina,,,,2022-08-25 17:16:44,2022-08-25 17:17:03,"19,725s",FAILED
,,,,,,,
Test Cases/Login_param,,,,2022-08-25 17:16:45,2022-08-25 17:16:58,"12,791s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-25 17:16:47,2022-08-25 17:16:48,"1,842s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-25 17:16:48,2022-08-25 17:16:56,"7,138s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-25 17:16:56,2022-08-25 17:16:56,"0,058s",PASSED
status_login = response.getStatusCode(),,,,2022-08-25 17:16:56,2022-08-25 17:16:56,"0,030s",PASSED
jsonString = response.getResponseText(),,,,2022-08-25 17:16:56,2022-08-25 17:16:56,"0,036s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-25 17:16:56,2022-08-25 17:16:56,"0,035s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-25 17:16:56,2022-08-25 17:16:56,"0,097s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-25 17:16:56,2022-08-25 17:16:56,"0,067s",PASSED
"nom_func = ""val_login""",,,,2022-08-25 17:16:56,2022-08-25 17:16:56,"0,030s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-25 17:16:56,2022-08-25 17:16:56,"0,193s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-25 17:16:56,2022-08-25 17:16:58,"1,871s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-25 17:16:58,2022-08-25 17:17:01,"2,650s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-25 17:16:59,2022-08-25 17:16:59,"0,000s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-25 17:16:59,2022-08-25 17:17:00,"1,871s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-25 17:17:00,2022-08-25 17:17:00,"0,015s",PASSED
status_login = response.getStatusCode(),,,,2022-08-25 17:17:00,2022-08-25 17:17:00,"0,000s",PASSED
jsonString = response.getResponseText(),,,,2022-08-25 17:17:00,2022-08-25 17:17:00,"0,000s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-25 17:17:00,2022-08-25 17:17:00,"0,000s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-25 17:17:00,2022-08-25 17:17:01,"0,016s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-25 17:17:01,2022-08-25 17:17:01,"0,000s",PASSED
"nom_func = ""val_login""",,,,2022-08-25 17:17:01,2022-08-25 17:17:01,"0,000s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-25 17:17:01,2022-08-25 17:17:01,"0,016s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-25 17:17:01,2022-08-25 17:17:01,"0,555s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-25 17:17:01,2022-08-25 17:17:03,"1,916s",FAILED
regis = Integer.parseInt(registro),,,,2022-08-25 17:17:02,2022-08-25 17:17:02,"0,010s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-25 17:17:02,2022-08-25 17:17:03,"1,165s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-25 17:17:03,2022-08-25 17:17:03,"0,000s",PASSED
status_login = response.getStatusCode(),,,,2022-08-25 17:17:03,2022-08-25 17:17:03,"0,000s",PASSED
jsonString = response.getResponseText(),,,,2022-08-25 17:17:03,2022-08-25 17:17:03,"0,000s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-25 17:17:03,2022-08-25 17:17:03,"0,015s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-25 17:17:03,2022-08-25 17:17:03,"0,008s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-25 17:17:03,2022-08-25 17:17:03,"0,001s",PASSED
"nom_func = ""val_login""",,,,2022-08-25 17:17:03,2022-08-25 17:17:03,"0,000s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-25 17:17:03,2022-08-25 17:17:03,"0,031s",FAILED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-25 17:17:03,2022-08-25 17:17:03,"0,634s",PASSED
