Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarNomina,,,,2022-08-25 15:58:29,2022-08-25 15:58:34,"4,309s",ERROR
,,,,,,,
Test Cases/Login_param,,,,2022-08-25 15:58:31,2022-08-25 15:58:32,"1,646s",ERROR
regis = Integer.parseInt(registro),,,,2022-08-25 15:58:32,2022-08-25 15:58:32,"0,101s",ERROR
,,,,,,,
Test Cases/Login_param,,,,2022-08-25 15:58:33,2022-08-25 15:58:34,"0,251s",ERROR
regis = Integer.parseInt(registro),,,,2022-08-25 15:58:33,2022-08-25 15:58:33,"0,014s",ERROR
