Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarConsolidadoFactura,,,,2022-08-26 15:23:28,2022-08-26 15:24:15,"47,405s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-26 15:23:30,2022-08-26 15:23:45,"15,484s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 15:23:31,2022-08-26 15:23:32,"1,309s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-26 15:23:32,2022-08-26 15:23:42,"9,982s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 15:23:42,2022-08-26 15:23:43,"0,021s",PASSED
status_login = response.getStatusCode(),,,,2022-08-26 15:23:43,2022-08-26 15:23:43,"0,000s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 15:23:43,2022-08-26 15:23:43,"0,000s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 15:23:43,2022-08-26 15:23:43,"0,060s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-26 15:23:43,2022-08-26 15:23:43,"0,030s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 15:23:43,2022-08-26 15:23:43,"0,042s",PASSED
"nom_func = ""val_login""",,,,2022-08-26 15:23:43,2022-08-26 15:23:43,"0,000s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-26 15:23:43,2022-08-26 15:23:43,"0,111s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-26 15:23:43,2022-08-26 15:23:45,"2,233s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-26 15:23:45,2022-08-26 15:23:47,"2,048s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 15:23:46,2022-08-26 15:23:46,"0,000s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-26 15:23:46,2022-08-26 15:23:47,"1,297s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 15:23:47,2022-08-26 15:23:47,"0,003s",PASSED
status_login = response.getStatusCode(),,,,2022-08-26 15:23:47,2022-08-26 15:23:47,"0,061s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 15:23:47,2022-08-26 15:23:47,"0,000s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 15:23:47,2022-08-26 15:23:47,"0,000s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-26 15:23:47,2022-08-26 15:23:47,"0,007s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 15:23:47,2022-08-26 15:23:47,"0,003s",PASSED
"nom_func = ""val_login""",,,,2022-08-26 15:23:47,2022-08-26 15:23:47,"0,000s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-26 15:23:47,2022-08-26 15:23:47,"0,000s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-26 15:23:47,2022-08-26 15:23:47,"0,547s",PASSED
,,,,,,,
