Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarNomina,,,,2022-08-25 11:58:38,2022-08-25 11:58:52,"14,663s",PASSED
,,,,,,,
Test Cases/Login,,,,2022-08-25 11:58:39,2022-08-25 11:58:52,"13,166s",PASSED
"respu = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-25 11:58:43,2022-08-25 11:58:52,"8,855s",PASSED
response = getInstance().getCurrentResponse(),,,,2022-08-25 11:58:52,2022-08-25 11:58:52,"0,025s",PASSED
request = getInstance().getCurrentRequest(),,,,2022-08-25 11:58:52,2022-08-25 11:58:52,"0,013s",PASSED
"def_status_200 = verifyResponseStatusCodeInRange(response, 200, 500)",,,,2022-08-25 11:58:52,2022-08-25 11:58:52,"0,071s",PASSED
jsonString = response.getResponseText(),,,,2022-08-25 11:58:52,2022-08-25 11:58:52,"0,046s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-25 11:58:52,2022-08-25 11:58:52,"0,037s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-25 11:58:52,2022-08-25 11:58:52,"0,044s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-25 11:58:52,2022-08-25 11:58:52,"0,041s",PASSED
val = ValidationMessage,,,,2022-08-25 11:58:52,2022-08-25 11:58:52,"0,029s",PASSED
if (val == null),,,,2022-08-25 11:58:52,2022-08-25 11:58:52,"0,016s",PASSED
if (Content != null),,,,2022-08-25 11:58:52,2022-08-25 11:58:52,"0,011s",PASSED
"println(""token -->"" + token)",,,,2022-08-25 11:58:52,2022-08-25 11:58:52,"0,029s",PASSED
