Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarConsolidadoFactura,,,,2022-08-30 23:50:59,2022-08-30 23:52:05,"1m - 5,412s",ERROR
,,,,,,,
Test Cases/Elimina_archivo,,,,2022-08-30 23:51:01,2022-08-30 23:51:05,"4,643s",PASSED
elimina = new almacena_datos_servicio.Elimina_archivo(),,,,2022-08-30 23:51:03,2022-08-30 23:51:03,"0,019s",PASSED
elimina.deleteFile(ruta_arch_salida),,,,2022-08-30 23:51:03,2022-08-30 23:51:05,"2,180s",PASSED
,,,,,,,
Test Cases/Login,,,,2022-08-30 23:51:05,2022-08-30 23:51:17,"11,630s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-30 23:51:06,2022-08-30 23:51:17,"10,305s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 23:51:17,2022-08-30 23:51:17,"0,104s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 23:51:17,2022-08-30 23:51:17,"0,038s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-30 23:51:17,2022-08-30 23:51:17,"0,061s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-30 23:51:17,2022-08-30 23:51:17,"0,042s",PASSED
almacena_datos_servicio.Val_mensaje_serv.val_login(parsedJson),,,,2022-08-30 23:51:17,2022-08-30 23:51:17,"0,148s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-30 23:51:17,2022-08-30 23:51:23,"6,047s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-30 23:51:18,2022-08-30 23:51:18,"0,020s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-30 23:51:18,2022-08-30 23:51:18,"0,008s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-30 23:51:18,2022-08-30 23:51:21,"2,579s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-30 23:51:21,2022-08-30 23:51:21,"0,007s",PASSED
status = response.getStatusCode(),,,,2022-08-30 23:51:21,2022-08-30 23:51:21,"0,013s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 23:51:21,2022-08-30 23:51:21,"0,000s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-30 23:51:21,2022-08-30 23:51:21,"0,018s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 23:51:21,2022-08-30 23:51:21,"0,000s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-30 23:51:21,2022-08-30 23:51:21,"0,101s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-30 23:51:21,2022-08-30 23:51:21,"0,010s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-30 23:51:21,2022-08-30 23:51:21,"0,000s",PASSED
println(jsonString),,,,2022-08-30 23:51:21,2022-08-30 23:51:21,"0,020s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_consulta_id_serv_report(parsedJson, val_consulta_id)",,,,2022-08-30 23:51:21,2022-08-30 23:51:21,"0,073s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_consultar_factura(),,,,2022-08-30 23:51:21,2022-08-30 23:51:23,"2,303s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-30 23:51:24,2022-08-30 23:51:25,"1,461s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-30 23:51:24,2022-08-30 23:51:24,"0,000s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-30 23:51:24,2022-08-30 23:51:24,"0,000s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-30 23:51:24,2022-08-30 23:51:25,"1,055s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-30 23:51:25,2022-08-30 23:51:25,"0,000s",PASSED
status = response.getStatusCode(),,,,2022-08-30 23:51:25,2022-08-30 23:51:25,"0,000s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 23:51:25,2022-08-30 23:51:25,"0,002s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-30 23:51:25,2022-08-30 23:51:25,"0,000s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 23:51:25,2022-08-30 23:51:25,"0,000s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-30 23:51:25,2022-08-30 23:51:25,"0,008s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-30 23:51:25,2022-08-30 23:51:25,"0,000s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-30 23:51:25,2022-08-30 23:51:25,"0,012s",PASSED
println(jsonString),,,,2022-08-30 23:51:25,2022-08-30 23:51:25,"0,000s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_consulta_id_serv_report(parsedJson, val_consulta_id)",,,,2022-08-30 23:51:25,2022-08-30 23:51:25,"0,000s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_consultar_factura(),,,,2022-08-30 23:51:25,2022-08-30 23:51:25,"0,285s",PASSED
,,,,,,,
