Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarConsolidadoFactura,,,,2022-08-26 10:26:53,2022-08-26 10:27:11,"17,784s",PASSED
,,,,,,,
Test Cases/Login,,,,2022-08-26 10:26:54,2022-08-26 10:27:06,"11,814s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-26 10:26:57,2022-08-26 10:27:06,"8,585s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 10:27:06,2022-08-26 10:27:06,"0,024s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 10:27:06,2022-08-26 10:27:06,"0,092s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-26 10:27:06,2022-08-26 10:27:06,"0,063s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 10:27:06,2022-08-26 10:27:06,"0,076s",PASSED
almacena_datos_servicio.Val_mensaje_serv.val_login(parsedJson),,,,2022-08-26 10:27:06,2022-08-26 10:27:06,"0,120s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-26 10:27:06,2022-08-26 10:27:11,"4,697s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-26 10:27:07,2022-08-26 10:27:07,"0,019s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 10:27:07,2022-08-26 10:27:07,"0,015s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/ConsultarConsolidado_Factura"", [""tipo_identificacion_id"":tipo_identificacion_id, ""numero_identificacion"":numero_identificacion, ""token"":token]))",,,,2022-08-26 10:27:07,2022-08-26 10:27:11,"3,743s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 10:27:11,2022-08-26 10:27:11,"0,005s",PASSED
status = response.getStatusCode(),,,,2022-08-26 10:27:11,2022-08-26 10:27:11,"0,010s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 10:27:11,2022-08-26 10:27:11,"0,004s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-26 10:27:11,2022-08-26 10:27:11,"0,025s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 10:27:11,2022-08-26 10:27:11,"0,000s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 10:27:11,2022-08-26 10:27:11,"0,248s",PASSED
println(jsonString),,,,2022-08-26 10:27:11,2022-08-26 10:27:11,"0,012s",PASSED
