Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarConsolidadoFactura,,,,2022-08-26 14:14:20,2022-08-26 14:15:06,"46,498s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-26 14:14:21,2022-08-26 14:14:36,"15,251s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 14:14:23,2022-08-26 14:14:24,"1,621s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-26 14:14:24,2022-08-26 14:14:32,"8,231s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 14:14:32,2022-08-26 14:14:32,"0,071s",PASSED
status_login = response.getStatusCode(),,,,2022-08-26 14:14:32,2022-08-26 14:14:33,"0,219s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 14:14:33,2022-08-26 14:14:33,"0,013s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 14:14:33,2022-08-26 14:14:33,"0,043s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-26 14:14:33,2022-08-26 14:14:33,"0,144s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 14:14:33,2022-08-26 14:14:33,"0,065s",PASSED
"nom_func = ""val_login""",,,,2022-08-26 14:14:33,2022-08-26 14:14:33,"0,005s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-26 14:14:33,2022-08-26 14:14:33,"0,171s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-26 14:14:33,2022-08-26 14:14:36,"3,125s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-26 14:14:37,2022-08-26 14:14:40,"2,608s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 14:14:37,2022-08-26 14:14:37,"0,008s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-26 14:14:37,2022-08-26 14:14:39,"1,789s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 14:14:39,2022-08-26 14:14:39,"0,002s",PASSED
status_login = response.getStatusCode(),,,,2022-08-26 14:14:39,2022-08-26 14:14:39,"0,000s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 14:14:39,2022-08-26 14:14:39,"0,020s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 14:14:39,2022-08-26 14:14:39,"0,000s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-26 14:14:39,2022-08-26 14:14:39,"0,003s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 14:14:39,2022-08-26 14:14:39,"0,009s",PASSED
"nom_func = ""val_login""",,,,2022-08-26 14:14:39,2022-08-26 14:14:39,"0,000s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-26 14:14:39,2022-08-26 14:14:39,"0,009s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-26 14:14:39,2022-08-26 14:14:40,"0,656s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-26 14:14:40,2022-08-26 14:14:42,"2,120s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 14:14:40,2022-08-26 14:14:40,"0,010s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-26 14:14:40,2022-08-26 14:14:41,"1,192s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 14:14:41,2022-08-26 14:14:41,"0,000s",PASSED
status_login = response.getStatusCode(),,,,2022-08-26 14:14:41,2022-08-26 14:14:41,"0,016s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 14:14:41,2022-08-26 14:14:41,"0,000s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 14:14:41,2022-08-26 14:14:41,"0,000s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-26 14:14:41,2022-08-26 14:14:41,"0,017s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 14:14:41,2022-08-26 14:14:41,"0,000s",PASSED
"nom_func = ""val_login""",,,,2022-08-26 14:14:41,2022-08-26 14:14:41,"0,000s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-26 14:14:41,2022-08-26 14:14:41,"0,020s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-26 14:14:41,2022-08-26 14:14:42,"0,771s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-26 14:14:42,2022-08-26 14:14:45,"2,827s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 14:14:42,2022-08-26 14:14:42,"0,000s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-26 14:14:42,2022-08-26 14:14:44,"1,832s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 14:14:44,2022-08-26 14:14:44,"0,000s",PASSED
status_login = response.getStatusCode(),,,,2022-08-26 14:14:44,2022-08-26 14:14:44,"0,002s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 14:14:44,2022-08-26 14:14:44,"0,010s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 14:14:44,2022-08-26 14:14:44,"0,000s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-26 14:14:44,2022-08-26 14:14:44,"0,008s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 14:14:44,2022-08-26 14:14:44,"0,000s",PASSED
