Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarConsolidadoFactura,,,,2022-08-26 10:55:46,2022-08-26 10:56:00,"14,320s",PASSED
,,,,,,,
Test Cases/Login,,,,2022-08-26 10:55:47,2022-08-26 10:55:56,"9,359s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-26 10:55:50,2022-08-26 10:55:56,"6,179s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 10:55:56,2022-08-26 10:55:56,"0,061s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 10:55:56,2022-08-26 10:55:56,"0,059s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-26 10:55:56,2022-08-26 10:55:56,"0,060s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 10:55:56,2022-08-26 10:55:56,"0,053s",PASSED
almacena_datos_servicio.Val_mensaje_serv.val_login(parsedJson),,,,2022-08-26 10:55:56,2022-08-26 10:55:56,"0,053s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-26 10:55:57,2022-08-26 10:55:58,"1,728s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-26 10:55:57,2022-08-26 10:55:57,"0,019s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 10:55:57,2022-08-26 10:55:57,"0,011s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-26 10:55:57,2022-08-26 10:55:58,"0,972s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 10:55:58,2022-08-26 10:55:58,"0,006s",PASSED
status = response.getStatusCode(),,,,2022-08-26 10:55:58,2022-08-26 10:55:58,"0,005s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 10:55:58,2022-08-26 10:55:58,"0,007s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-26 10:55:58,2022-08-26 10:55:58,"0,009s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 10:55:58,2022-08-26 10:55:58,"0,002s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 10:55:58,2022-08-26 10:55:58,"0,007s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-26 10:55:58,2022-08-26 10:55:58,"0,001s",PASSED
println(jsonString),,,,2022-08-26 10:55:58,2022-08-26 10:55:58,"0,010s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-26 10:55:58,2022-08-26 10:56:00,"1,751s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-26 10:55:59,2022-08-26 10:55:59,"0,003s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 10:55:59,2022-08-26 10:55:59,"0,001s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-26 10:55:59,2022-08-26 10:56:00,"1,560s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 10:56:00,2022-08-26 10:56:00,"0,003s",PASSED
status = response.getStatusCode(),,,,2022-08-26 10:56:00,2022-08-26 10:56:00,"0,003s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 10:56:00,2022-08-26 10:56:00,"0,003s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-26 10:56:00,2022-08-26 10:56:00,"0,001s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 10:56:00,2022-08-26 10:56:00,"0,017s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 10:56:00,2022-08-26 10:56:00,"0,006s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-26 10:56:00,2022-08-26 10:56:00,"0,005s",PASSED
println(jsonString),,,,2022-08-26 10:56:00,2022-08-26 10:56:00,"0,001s",PASSED
