Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarConsolidadoFactura,,,,2022-08-31 11:08:40,2022-08-31 11:11:13,"2m - 33,787s",ERROR
,,,,,,,
Test Cases/Elimina_archivo,,,,2022-08-31 11:08:41,2022-08-31 11:08:46,"4,181s",PASSED
elimina = new almacena_datos_servicio.Elimina_archivo(),,,,2022-08-31 11:08:43,2022-08-31 11:08:43,"0,058s",PASSED
elimina.deleteFile(ruta_arch_salida),,,,2022-08-31 11:08:43,2022-08-31 11:08:46,"2,675s",PASSED
,,,,,,,
Test Cases/Login,,,,2022-08-31 11:08:46,2022-08-31 11:08:59,"13,650s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-31 11:08:47,2022-08-31 11:08:59,"12,032s",PASSED
jsonString = response.getResponseText(),,,,2022-08-31 11:08:59,2022-08-31 11:08:59,"0,032s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-31 11:08:59,2022-08-31 11:08:59,"0,030s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-31 11:08:59,2022-08-31 11:08:59,"0,069s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-31 11:08:59,2022-08-31 11:08:59,"0,038s",PASSED
almacena_datos_servicio.Val_mensaje_serv.val_login(parsedJson),,,,2022-08-31 11:08:59,2022-08-31 11:08:59,"0,060s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-31 11:09:00,2022-08-31 11:09:07,"7,296s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-31 11:09:00,2022-08-31 11:09:00,"0,025s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-31 11:09:00,2022-08-31 11:09:00,"0,010s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-31 11:09:00,2022-08-31 11:09:03,"2,433s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-31 11:09:03,2022-08-31 11:09:03,"0,002s",PASSED
status = response.getStatusCode(),,,,2022-08-31 11:09:03,2022-08-31 11:09:03,"0,014s",PASSED
jsonString = response.getResponseText(),,,,2022-08-31 11:09:03,2022-08-31 11:09:03,"0,006s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-31 11:09:03,2022-08-31 11:09:03,"0,010s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-31 11:09:03,2022-08-31 11:09:03,"0,008s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-31 11:09:03,2022-08-31 11:09:03,"0,091s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-31 11:09:03,2022-08-31 11:09:03,"0,010s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-31 11:09:03,2022-08-31 11:09:03,"0,010s",PASSED
println(jsonString),,,,2022-08-31 11:09:03,2022-08-31 11:09:03,"0,000s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_consulta_id_serv_report(parsedJson, val_consulta_id)",,,,2022-08-31 11:09:03,2022-08-31 11:09:03,"0,032s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_consultar_factura(),,,,2022-08-31 11:09:03,2022-08-31 11:09:07,"3,804s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-31 11:09:07,2022-08-31 11:09:10,"2,221s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-31 11:09:08,2022-08-31 11:09:08,"0,004s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-31 11:09:08,2022-08-31 11:09:08,"0,013s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-31 11:09:08,2022-08-31 11:09:09,"1,463s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-31 11:09:09,2022-08-31 11:09:09,"0,001s",PASSED
status = response.getStatusCode(),,,,2022-08-31 11:09:09,2022-08-31 11:09:09,"0,028s",PASSED
jsonString = response.getResponseText(),,,,2022-08-31 11:09:09,2022-08-31 11:09:09,"0,001s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-31 11:09:09,2022-08-31 11:09:09,"0,003s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-31 11:09:09,2022-08-31 11:09:09,"0,002s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-31 11:09:09,2022-08-31 11:09:09,"0,020s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-31 11:09:09,2022-08-31 11:09:09,"0,004s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-31 11:09:09,2022-08-31 11:09:09,"0,001s",PASSED
println(jsonString),,,,2022-08-31 11:09:09,2022-08-31 11:09:09,"0,001s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_consulta_id_serv_report(parsedJson, val_consulta_id)",,,,2022-08-31 11:09:09,2022-08-31 11:09:09,"0,002s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_consultar_factura(),,,,2022-08-31 11:09:09,2022-08-31 11:09:10,"0,439s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-31 11:09:10,2022-08-31 11:09:14,"3,835s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-31 11:09:10,2022-08-31 11:09:10,"0,002s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-31 11:09:10,2022-08-31 11:09:10,"0,000s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-31 11:09:10,2022-08-31 11:09:13,"2,858s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-31 11:09:13,2022-08-31 11:09:13,"0,005s",PASSED
status = response.getStatusCode(),,,,2022-08-31 11:09:13,2022-08-31 11:09:13,"0,000s",PASSED
jsonString = response.getResponseText(),,,,2022-08-31 11:09:13,2022-08-31 11:09:13,"0,001s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-31 11:09:13,2022-08-31 11:09:13,"0,001s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-31 11:09:13,2022-08-31 11:09:13,"0,000s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-31 11:09:13,2022-08-31 11:09:13,"0,060s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-31 11:09:13,2022-08-31 11:09:13,"0,004s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-31 11:09:13,2022-08-31 11:09:13,"0,001s",PASSED
println(jsonString),,,,2022-08-31 11:09:13,2022-08-31 11:09:13,"0,005s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_consulta_id_serv_report(parsedJson, val_consulta_id)",,,,2022-08-31 11:09:13,2022-08-31 11:09:13,"0,000s",PASSED
