Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarConsolidadoFactura,,,,2022-08-29 17:35:08,2022-08-29 17:35:54,"46,220s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-29 17:35:09,2022-08-29 17:35:23,"13,546s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-29 17:35:10,2022-08-29 17:35:12,"1,311s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-29 17:35:12,2022-08-29 17:35:20,"8,339s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-29 17:35:20,2022-08-29 17:35:20,"0,077s",PASSED
status_login = response.getStatusCode(),,,,2022-08-29 17:35:20,2022-08-29 17:35:20,"0,030s",PASSED
jsonString = response.getResponseText(),,,,2022-08-29 17:35:20,2022-08-29 17:35:20,"0,044s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-29 17:35:20,2022-08-29 17:35:20,"0,065s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-29 17:35:20,2022-08-29 17:35:20,"0,086s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-29 17:35:20,2022-08-29 17:35:20,"0,089s",PASSED
"nom_func = ""val_login""",,,,2022-08-29 17:35:20,2022-08-29 17:35:20,"0,040s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-29 17:35:20,2022-08-29 17:35:21,"0,184s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-29 17:35:21,2022-08-29 17:35:23,"1,931s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-29 17:35:23,2022-08-29 17:35:25,"2,201s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-29 17:35:23,2022-08-29 17:35:23,"0,009s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-29 17:35:23,2022-08-29 17:35:24,"1,210s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-29 17:35:24,2022-08-29 17:35:24,"0,023s",PASSED
status_login = response.getStatusCode(),,,,2022-08-29 17:35:24,2022-08-29 17:35:24,"0,006s",PASSED
jsonString = response.getResponseText(),,,,2022-08-29 17:35:24,2022-08-29 17:35:24,"0,002s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-29 17:35:24,2022-08-29 17:35:24,"0,029s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-29 17:35:24,2022-08-29 17:35:24,"0,030s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-29 17:35:24,2022-08-29 17:35:24,"0,009s",PASSED
"nom_func = ""val_login""",,,,2022-08-29 17:35:24,2022-08-29 17:35:24,"0,003s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-29 17:35:24,2022-08-29 17:35:24,"0,010s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-29 17:35:24,2022-08-29 17:35:25,"0,613s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-29 17:35:26,2022-08-29 17:35:28,"2,577s",PASSED
