Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarNomina,,,,2022-08-26 09:41:44,2022-08-26 09:42:27,"43,096s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-26 09:41:45,2022-08-26 09:41:59,"13,839s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 09:41:47,2022-08-26 09:41:48,"1,623s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-26 09:41:48,2022-08-26 09:41:56,"7,609s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 09:41:56,2022-08-26 09:41:56,"0,089s",PASSED
status_login = response.getStatusCode(),,,,2022-08-26 09:41:56,2022-08-26 09:41:56,"0,041s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 09:41:56,2022-08-26 09:41:56,"0,030s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 09:41:56,2022-08-26 09:41:56,"0,094s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-26 09:41:56,2022-08-26 09:41:56,"0,081s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 09:41:56,2022-08-26 09:41:56,"0,089s",PASSED
"nom_func = ""val_login""",,,,2022-08-26 09:41:56,2022-08-26 09:41:56,"0,024s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-26 09:41:56,2022-08-26 09:41:57,"0,136s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-26 09:41:57,2022-08-26 09:41:59,"2,154s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-26 09:41:59,2022-08-26 09:42:01,"1,812s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 09:41:59,2022-08-26 09:41:59,"0,000s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-26 09:41:59,2022-08-26 09:42:01,"1,407s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 09:42:01,2022-08-26 09:42:01,"0,003s",PASSED
status_login = response.getStatusCode(),,,,2022-08-26 09:42:01,2022-08-26 09:42:01,"0,002s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 09:42:01,2022-08-26 09:42:01,"0,002s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 09:42:01,2022-08-26 09:42:01,"0,013s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-26 09:42:01,2022-08-26 09:42:01,"0,007s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 09:42:01,2022-08-26 09:42:01,"0,012s",PASSED
"nom_func = ""val_login""",,,,2022-08-26 09:42:01,2022-08-26 09:42:01,"0,001s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-26 09:42:01,2022-08-26 09:42:01,"0,005s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-26 09:42:01,2022-08-26 09:42:01,"0,309s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-26 09:42:02,2022-08-26 09:42:03,"1,369s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 09:42:02,2022-08-26 09:42:02,"0,004s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-26 09:42:02,2022-08-26 09:42:03,"1,005s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 09:42:03,2022-08-26 09:42:03,"0,001s",PASSED
status_login = response.getStatusCode(),,,,2022-08-26 09:42:03,2022-08-26 09:42:03,"0,000s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 09:42:03,2022-08-26 09:42:03,"0,005s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 09:42:03,2022-08-26 09:42:03,"0,005s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-26 09:42:03,2022-08-26 09:42:03,"0,014s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 09:42:03,2022-08-26 09:42:03,"0,001s",PASSED
"nom_func = ""val_login""",,,,2022-08-26 09:42:03,2022-08-26 09:42:03,"0,031s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-26 09:42:03,2022-08-26 09:42:03,"0,006s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-26 09:42:03,2022-08-26 09:42:03,"0,206s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-26 09:42:03,2022-08-26 09:42:06,"2,311s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 09:42:03,2022-08-26 09:42:03,"0,001s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-26 09:42:03,2022-08-26 09:42:05,"1,885s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 09:42:05,2022-08-26 09:42:05,"0,004s",PASSED
status_login = response.getStatusCode(),,,,2022-08-26 09:42:05,2022-08-26 09:42:05,"0,003s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 09:42:05,2022-08-26 09:42:05,"0,006s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 09:42:05,2022-08-26 09:42:05,"0,004s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-26 09:42:05,2022-08-26 09:42:05,"0,007s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 09:42:05,2022-08-26 09:42:05,"0,003s",PASSED
"nom_func = ""val_login""",,,,2022-08-26 09:42:05,2022-08-26 09:42:05,"0,023s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-26 09:42:05,2022-08-26 09:42:05,"0,016s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-26 09:42:05,2022-08-26 09:42:06,"0,236s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-26 09:42:06,2022-08-26 09:42:07,"1,722s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 09:42:06,2022-08-26 09:42:06,"0,008s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-26 09:42:06,2022-08-26 09:42:07,"1,122s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 09:42:07,2022-08-26 09:42:07,"0,001s",PASSED
status_login = response.getStatusCode(),,,,2022-08-26 09:42:07,2022-08-26 09:42:07,"0,003s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 09:42:07,2022-08-26 09:42:07,"0,000s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 09:42:07,2022-08-26 09:42:07,"0,000s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-26 09:42:07,2022-08-26 09:42:07,"0,001s",PASSED
