Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarConsolidadoFactura,,,,2022-08-26 15:27:49,2022-08-26 15:28:32,"43,492s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-26 15:27:50,2022-08-26 15:28:03,"12,273s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 15:27:52,2022-08-26 15:27:53,"1,434s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-26 15:27:53,2022-08-26 15:28:00,"6,712s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 15:28:00,2022-08-26 15:28:00,"0,157s",PASSED
status_login = response.getStatusCode(),,,,2022-08-26 15:28:00,2022-08-26 15:28:00,"0,005s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 15:28:00,2022-08-26 15:28:00,"0,007s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 15:28:00,2022-08-26 15:28:00,"0,098s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-26 15:28:00,2022-08-26 15:28:00,"0,075s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 15:28:00,2022-08-26 15:28:00,"0,194s",PASSED
"nom_func = ""val_login""",,,,2022-08-26 15:28:00,2022-08-26 15:28:00,"0,008s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-26 15:28:00,2022-08-26 15:28:00,"0,085s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-26 15:28:00,2022-08-26 15:28:03,"2,110s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-26 15:28:03,2022-08-26 15:28:05,"1,924s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 15:28:03,2022-08-26 15:28:03,"0,000s",PASSED
