Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarConsolidadoFactura,,,,2022-08-31 10:34:01,2022-08-31 10:36:18,"2m - 17,499s",ERROR
,,,,,,,
Test Cases/Elimina_archivo,,,,2022-08-31 10:34:02,2022-08-31 10:34:07,"4,965s",PASSED
elimina = new almacena_datos_servicio.Elimina_archivo(),,,,2022-08-31 10:34:03,2022-08-31 10:34:03,"0,030s",PASSED
elimina.deleteFile(ruta_arch_salida),,,,2022-08-31 10:34:03,2022-08-31 10:34:07,"3,509s",PASSED
,,,,,,,
Test Cases/Login,,,,2022-08-31 10:34:07,2022-08-31 10:34:28,"21,186s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-31 10:34:08,2022-08-31 10:34:27,"19,654s",PASSED
jsonString = response.getResponseText(),,,,2022-08-31 10:34:27,2022-08-31 10:34:27,"0,030s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-31 10:34:28,2022-08-31 10:34:28,"0,024s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-31 10:34:28,2022-08-31 10:34:28,"0,106s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-31 10:34:28,2022-08-31 10:34:28,"0,078s",PASSED
almacena_datos_servicio.Val_mensaje_serv.val_login(parsedJson),,,,2022-08-31 10:34:28,2022-08-31 10:34:28,"0,198s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-31 10:34:28,2022-08-31 10:34:39,"11,033s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-31 10:34:30,2022-08-31 10:34:30,"0,018s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-31 10:34:30,2022-08-31 10:34:30,"0,003s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-31 10:34:30,2022-08-31 10:34:32,"1,817s",PASSED
