Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarNomina,,,,2022-08-25 16:01:08,2022-08-25 16:01:25,"16,845s",ERROR
,,,,,,,
Test Cases/Login_param,,,,2022-08-25 16:01:10,2022-08-25 16:01:22,"12,605s",ERROR
regis = Integer.parseInt(registro),,,,2022-08-25 16:01:11,2022-08-25 16:01:13,"1,635s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-25 16:01:13,2022-08-25 16:01:20,"7,355s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-25 16:01:20,2022-08-25 16:01:20,"0,039s",PASSED
status_login = response.getStatusCode(),,,,2022-08-25 16:01:20,2022-08-25 16:01:20,"0,037s",PASSED
jsonString = response.getResponseText(),,,,2022-08-25 16:01:20,2022-08-25 16:01:20,"0,040s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-25 16:01:20,2022-08-25 16:01:20,"0,056s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-25 16:01:20,2022-08-25 16:01:20,"0,048s",PASSED
"nom_func = ""val_login""",,,,2022-08-25 16:01:20,2022-08-25 16:01:20,"0,004s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-25 16:01:20,2022-08-25 16:01:20,"0,142s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-25 16:01:20,2022-08-25 16:01:22,"1,834s",ERROR
,,,,,,,
Test Cases/Login_param,,,,2022-08-25 16:01:23,2022-08-25 16:01:25,"2,170s",FAILED
regis = Integer.parseInt(registro),,,,2022-08-25 16:01:23,2022-08-25 16:01:23,"0,001s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-25 16:01:23,2022-08-25 16:01:24,"1,448s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-25 16:01:24,2022-08-25 16:01:24,"0,010s",PASSED
status_login = response.getStatusCode(),,,,2022-08-25 16:01:24,2022-08-25 16:01:24,"0,015s",PASSED
jsonString = response.getResponseText(),,,,2022-08-25 16:01:24,2022-08-25 16:01:24,"0,003s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-25 16:01:24,2022-08-25 16:01:24,"0,003s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-25 16:01:24,2022-08-25 16:01:24,"0,008s",PASSED
"nom_func = ""val_login""",,,,2022-08-25 16:01:24,2022-08-25 16:01:24,"0,011s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-25 16:01:24,2022-08-25 16:01:24,"0,044s",FAILED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-25 16:01:24,2022-08-25 16:01:25,"0,493s",ERROR
