Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarConsolidadoFactura,,,,2022-08-26 15:15:15,2022-08-26 15:15:59,"44,584s",FAILED
,,,,,,,
Test Cases/Login_param,,,,2022-08-26 15:15:16,2022-08-26 15:15:29,"12,756s",FAILED
regis = Integer.parseInt(registro),,,,2022-08-26 15:15:18,2022-08-26 15:15:19,"1,573s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-26 15:15:19,2022-08-26 15:15:26,"6,680s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 15:15:26,2022-08-26 15:15:26,"0,146s",PASSED
status_login = response.getStatusCode(),,,,2022-08-26 15:15:26,2022-08-26 15:15:26,"0,033s",PASSED
jsonString = response.getResponseText(),,,,2022-08-26 15:15:26,2022-08-26 15:15:26,"0,000s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-26 15:15:26,2022-08-26 15:15:26,"0,079s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-26 15:15:26,2022-08-26 15:15:26,"0,029s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-26 15:15:26,2022-08-26 15:15:26,"0,027s",PASSED
"nom_func = ""val_login""",,,,2022-08-26 15:15:26,2022-08-26 15:15:26,"0,002s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_mensaje_serv_login(parsedJson, type, ValidationMessage)",,,,2022-08-26 15:15:26,2022-08-26 15:15:27,"0,152s",FAILED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_mensaje_serv_login(),,,,2022-08-26 15:15:27,2022-08-26 15:15:29,"2,272s",PASSED
,,,,,,,
Test Cases/Login_param,,,,2022-08-26 15:15:29,2022-08-26 15:15:31,"1,831s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-26 15:15:29,2022-08-26 15:15:29,"0,000s",PASSED
"response = sendRequestAndVerify(findTestObject(""miNomina_Mareigua-ConsultarNomina/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-26 15:15:29,2022-08-26 15:15:31,"1,259s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-26 15:15:31,2022-08-26 15:15:31,"0,000s",PASSED
status_login = response.getStatusCode(),,,,2022-08-26 15:15:31,2022-08-26 15:15:31,"0,015s",PASSED
